,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,availability_60,availability_90,availability_365,number_of_reviews_ltm,reviews_per_month
33287,Mala,Mala,Poco disponible,Escaso,Poco disponible,Escaso,61-81,Comun,Común,Raro,Disponible,Abundante
33288,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,41-60,Comun,Común,Común,Disponible,Abundante
33289,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Escaso,Disponible,Raro
33290,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,20-40,Disponible,Poco disponible,Disponible,Poco disponible,Poco disponible
33291,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,41-60,Raro,Raro,Raro,Poco disponible,Poco disponible
33292,Mala,Mala,Escaso,Abundante,Abundante,Poco disponible,123-142,Disponible,Disponible,Disponible,Poco disponible,Poco disponible
33293,Mala,Mala,Disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Comun,Raro,Poco disponible,Disponible,Poco disponible
33294,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,41-60,Comun,Común,Común,Poco disponible,Poco disponible
33295,Mala,Mala,Disponible,Abundante,Abundante,Abundante,82-101,Comun,Común,Raro,Disponible,Poco disponible
33296,Mala,Mala,Disponible,Poco disponible,Disponible,Disponible,20-40,Comun,Común,Común,Disponible,Poco disponible
33297,Mala,Mala,Disponible,Disponible,Poco disponible,Disponible,0-19,Raro,Raro,Frecuente,Poco disponible,Poco disponible
33298,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,41-60,Comun,Común,Común,Disponible,Abundante
33299,Mala,Mala,Disponible,Abundante,Abundante,Abundante,82-101,Raro,Frecuente,Frecuente,Disponible,Abundante
33300,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,0-19,Comun,Común,Frecuente,Disponible,Raro
33301,Mala,Mala,Frecuente,Poco disponible,Poco disponible,Disponible,20-40,Escaso,Frecuente,Poco disponible,Disponible,Poco disponible
33302,Mala,Mala,Disponible,Abundante,Abundante,Poco disponible,41-60,Comun,Común,Raro,Disponible,Poco disponible
33303,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,41-60,Comun,Común,Común,Disponible,Escaso
33304,Mala,Mala,Disponible,Abundante,Abundante,Disponible,184-205,Comun,Común,Raro,Disponible,Escaso
33305,Mala,Mala,Abundante,Escaso,Poco disponible,Poco disponible,20-40,Comun,Común,Raro,Disponible,Escaso
33306,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Escaso,Disponible,Poco disponible
33307,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,61-81,Comun,Común,Frecuente,Disponible,Poco disponible
33308,Mala,Mala,Disponible,Frecuente,Poco disponible,Escaso,61-81,Escaso,Frecuente,Abundante,Disponible,Poco disponible
33309,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,41-60,Comun,Común,Común,Disponible,Frecuente
33310,Mala,Mala,Abundante,Escaso,Poco disponible,Normal,20-40,Comun,Común,Raro,Disponible,Frecuente
33311,Mala,Mala,Poco disponible,Abundante,Abundante,Abundante,123-142,Escaso,Escaso,Frecuente,Disponible,Frecuente
33312,Mala,Mala,Disponible,Poco disponible,Abundante,Disponible,41-60,Comun,Común,Abundante,Disponible,Poco disponible
33313,Mala,Mala,Poco disponible,Escaso,Poco disponible,Abundante,41-60,Comun,Común,Poco disponible,Disponible,Abundante
33314,Mala,Mala,Disponible,Escaso,Poco disponible,Abundante,61-81,Abundante,Escaso,Escaso,Disponible,Poco disponible
33315,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,41-60,Comun,Común,Común,Disponible,Abundante
33316,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,41-60,Comun,Común,Poco disponible,Disponible,Poco disponible
33317,Mala,Mala,Abundante,Disponible,Poco disponible,Disponible,20-40,Comun,Común,Raro,Disponible,Poco disponible
33318,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Poco disponible,Disponible,Poco disponible
33319,Mala,Mala,Frecuente,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Poco disponible,Poco disponible,Poco disponible
33320,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Escaso,Disponible,Poco disponible
33321,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Raro,Raro,Frecuente,Disponible,Escaso
33322,Mala,Mala,Abundante,Abundante,Poco disponible,Poco disponible,20-40,Disponible,Abundante,Escaso,Disponible,Poco disponible
