,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,price,has_availability,instant_bookable,id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
3000,Marisol,2022-03-22,"Málaga, Spain",within an hour,100%,100%,t,Hortaleza,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$98.00,t,f,588164313512840383,450741906,1.0,1.0,36.726147,-4.423333,5.0,2.0,3.0,1.0,730,1125,1.6,1125.0,0,7,25,262,76.0,34.0,4.89,4.92,4.91,4.96,4.91,4.82,4.82,1.0,2.84
3001,Maria Francisca,2018-04-15,"Málaga, Spain",within an hour,100%,100%,f,Hortaleza,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$120.00,t,t,1107282525198423560,184363963,1.0,1.0,36.722730556053286,-4.41716726967603,4.0,2.0,0.0,3.0,30,30,3.0,30.0,9,15,19,20,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0
3002,Andrea,2014-11-07,"Madrid, Spain",within an hour,97%,98%,f,Hortaleza,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in hostel,Private room,$78.00,t,t,585442631751851785,23441165,42.0,93.0,36.72785,-4.41198,2.0,1.0,1.0,1.0,365,1125,1.0,430.7,17,36,66,307,9.0,1.0,4.7,4.8,4.8,4.8,4.8,4.8,4.7,10.0,0.33
3003,Del Parque Flats,2017-09-25,"Málaga, Spain",within an hour,100%,98%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$60.00,t,t,1161425373037537679,152016953,84.0,84.0,36.72505829,-4.415143092,4.0,2.0,2.0,1.0,1125,1125,2.4,75.6,27,57,87,362,0.0,0.0,4.7,4.8,4.8,4.8,4.8,4.8,4.7,62.0,0.33
3004,Albert,2019-07-20,"Málaga, Spain",within an hour,96%,98%,f,La Victoria,"['phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$117.00,t,t,1005097144914497771,277663300,34.0,37.0,36.721245,-4.4239068,2.0,1.0,1.0,2.0,90,1125,2.0,1125.0,6,16,35,205,23.0,23.0,4.83,4.74,4.96,4.48,4.83,4.87,4.83,25.0,2.91
3005,Javier - Cap,2012-07-23,"Málaga, Spain",within a few hours,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$99.00,t,f,611037,3029584,1.0,4.0,36.72889,-4.42142,2.0,1.0,1.0,3.0,1125,1125,3.0,1125.0,1,4,4,182,22.5,18.0,4.65,4.71,4.66,4.9,4.87,4.61,4.58,1.0,1.55
3006,Ursula,2013-12-09,"Santiago de Compostela, Spain",within a few hours,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, AL, Spain",Centro,Entire rental unit,Entire home/apt,$140.00,t,f,21995691,10526969,4.0,7.0,36.72405,-4.41761,2.0,1.0,1.0,3.0,1125,1125,3.0,1125.0,1,3,6,103,33.0,11.0,4.82,4.91,4.85,4.88,4.85,4.88,4.76,1.0,0.45
3007,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, AL, Spain",Centro,Entire rental unit,Entire home/apt,$168.00,t,t,36406452,80225433,20.0,22.4,36.72059,-4.42243,6.0,2.0,3.0,1.0,365,999,3.6,999.0,3,5,11,154,25.0,1.0,4.44,4.76,4.44,4.68,4.8,4.92,4.68,10.6,0.41
3008,Albert,2019-07-20,"Málaga, Spain",within an hour,96%,98%,f,La Victoria,"['phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$141.00,t,t,1005104142403056641,277663300,34.0,37.0,36.721245,-4.4239068,2.0,1.0,2.0,2.0,90,1125,2.0,1125.0,3,14,37,198,27.0,27.0,4.74,4.7,4.85,4.74,4.7,4.81,4.85,25.0,3.39
3009,Andrea,2016-05-10,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$94.00,t,t,52504170,71255240,60.0,65.0,36.72237014770508,-4.42429780960083,4.0,1.0,2.0,1.0,1125,1125,3.3,1125.0,3,20,50,141,22.5,32.0,4.72,4.75,4.84,4.89,4.94,4.83,4.72,47.0,3.89
