,host_response_rate,review_scores_cleanliness,price,number_of_reviews,number_of_reviews,review_scores_communication
163,1.0,4.79,329.0,10.0,10.0,4.94
164,1.0,4.96,364.0,10.0,10.0,4.98
165,0.9,4.62,108.0,10.0,10.0,4.87
166,1.0,4.68,408.0,10.0,10.0,4.87
167,1.0,5.0,356.9,2.0,2.0,5.0
168,1.0,4.9,268.0,10.0,10.0,4.76
169,1.0,4.93,94.0,10.0,10.0,4.93
170,1.0,4.9,348.0,10.0,10.0,4.98
171,1.0,5.0,164.0,6.0,6.0,5.0
172,1.0,4.9,391.0,10.0,10.0,4.87
173,0.9,4.79,140.0,10.0,10.0,4.75
174,1.0,4.88,962.0,10.0,10.0,4.93
175,1.0,4.9,400.0,13.0,13.0,4.92
176,1.0,4.67,497.0,6.0,6.0,5.0
177,1.0,4.81,190.0,10.0,10.0,4.97
178,0.95,4.57,151.0,56.0,56.0,4.91
179,1.0,4.69,256.0,10.0,10.0,4.94
180,1.0,5.0,300.0,12.0,12.0,5.0
181,1.0,4.4,160.0,6.0,6.0,5.0
182,1.0,4.95,450.0,10.0,10.0,4.92
183,1.0,4.95,829.0,0.0,0.0,4.92
184,1.0,4.35,850.0,18.0,18.0,4.82
185,1.0,4.84,300.0,27.0,27.0,5.0
186,1.0,4.74,220.0,10.0,10.0,4.87
187,1.0,4.73,800.0,46.0,46.0,4.98
188,0.93,4.36,500.0,14.0,14.0,4.93
189,0.93,4.67,356.9,3.0,3.0,5.0
190,0.93,4.6,186.0,5.0,5.0,5.0
191,0.9,4.5,157.0,9.0,9.0,5.0
192,1.0,4.72,270.0,10.0,10.0,4.95
193,0.96,4.6,663.0,5.0,5.0,5.0
194,0.96,4.95,387.0,39.0,39.0,4.79
195,1.0,4.89,313.0,10.0,10.0,4.87
196,1.0,4.55,116.0,10.0,10.0,5.0
197,1.0,5.0,484.0,1.0,1.0,5.0
198,1.0,4.94,341.0,10.0,10.0,4.93
199,1.0,4.97,305.0,10.0,10.0,4.92
200,1.0,4.57,400.0,8.0,8.0,4.86
201,1.0,4.9,155.0,6.0,6.0,5.0
202,1.0,5.0,206.0,1.0,1.0,5.0
203,1.0,4.41,163.0,22.0,22.0,5.0
204,1.0,5.0,442.0,1.0,1.0,5.0
205,1.0,4.83,160.0,46.0,46.0,4.91
206,1.0,5.0,187.0,13.0,13.0,5.0
207,1.0,4.89,385.0,10.0,10.0,4.97
208,1.0,5.0,257.0,2.0,2.0,5.0
209,1.0,4.61,280.0,52.0,52.0,4.76
210,1.0,4.66,356.9,10.0,10.0,5.0
211,1.0,4.96,130.0,23.0,23.0,5.0
212,1.0,5.0,343.0,1.0,1.0,5.0
213,1.0,4.9,990.0,8.0,8.0,5.0
214,1.0,4.88,258.0,10.0,10.0,4.86
215,1.0,4.71,1105.0,14.0,14.0,5.0
216,1.0,4.63,420.0,8.0,8.0,5.0
217,1.0,4.79,390.0,10.0,10.0,4.94
218,1.0,5.0,469.0,13.0,13.0,5.0
219,0.92,4.41,250.0,10.0,10.0,5.0
220,1.0,4.8,420.0,15.0,15.0,4.87
221,0.9,4.42,103.0,10.0,10.0,4.83
222,1.0,4.9,699.0,10.0,10.0,4.98
223,1.0,4.65,200.0,23.0,23.0,4.91
224,1.0,5.0,356.9,1.0,1.0,5.0
225,1.0,4.88,314.0,10.0,10.0,4.9
226,1.0,4.65,703.0,20.0,20.0,4.95
227,1.0,4.65,1105.0,0.0,0.0,4.95
228,0.96,4.73,552.0,11.0,11.0,4.82
229,1.0,4.85,417.0,10.0,10.0,4.92
230,0.96,5.0,552.0,2.0,2.0,5.0
231,1.0,4.88,436.0,10.0,10.0,4.95
232,1.0,4.76,356.9,10.0,10.0,4.93
233,1.0,4.67,850.0,28.0,28.0,4.89
234,1.0,4.91,136.0,10.0,10.0,4.91
