,id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
1998,999147063524983515,40570361,15,16,36.72907780000001,-4.4111159,2,1.0,2.0,1,365,365,1.0,365.0,30,60,90,270,0,0,4.91,4.73,5.0,5.0,5.0,4.91,4.55,15,4.93
1999,585353439846295815,132464123,7,8,36.72313,-4.43301,2,1.0,1.0,3,35,1125,3.0,1125.0,22,52,82,161,66,25,4.76,4.8,4.68,4.77,4.89,4.64,4.7,6,2.41
2000,49904918,203098910,1,1,36.70022,-4.43828,3,1.0,2.0,3,45,45,3.3,45.0,0,5,10,51,114,38,4.94,4.98,4.99,4.99,5.0,4.84,4.87,1,3.07
2001,1189003661621278789,579350840,443,490,36.72404570407503,-4.357030198164888,6,3.0,3.0,1,365,365,1.0,281.2,29,59,89,364,0,0,4.94,4.98,4.99,4.99,5.0,4.84,4.87,7,3.07
2002,668989734737202902,102987168,12,19,36.70998,-4.43406,4,1.0,2.0,1,365,1125,1.0,1125.0,10,22,51,286,12,1,3.5,3.92,3.33,4.17,4.0,3.91,3.33,12,0.51
2003,21485030,156055783,2,5,36.71695,-4.3559,4,4.0,4.0,5,90,90,5.0,90.0,1,6,13,138,0,0,3.5,3.92,3.33,4.17,4.0,3.91,3.33,1,0.51
2004,50108991,150814709,3,3,36.71877,-4.35839,4,0.0,2.0,4,1125,1125,4.2,1125.0,6,6,33,67,4,0,4.5,5.0,4.25,5.0,5.0,5.0,4.75,3,0.11
2005,23466983,572760163,1,2,36.70877,-4.43194,8,4.0,5.0,2,1125,1125,2.4,1125.0,17,47,77,352,4,1,5.0,5.0,5.0,5.0,4.75,5.0,5.0,1,0.11
2006,51008457,89812313,85,88,36.71934,-4.35567,4,2.0,3.0,2,1125,1125,1.7,1125.0,12,24,34,308,14,1,4.57,4.71,4.79,5.0,4.57,4.5,4.36,75,0.4
2007,1184747790533815968,585033008,1,1,36.7017044,-4.4346822,6,3.0,5.0,3,7,7,3.0,7.0,28,58,88,363,0,0,4.57,4.71,4.79,5.0,4.57,4.5,4.36,1,0.4
2008,643574636250050549,382146507,72,72,36.6932292,-4.4437384,2,1.0,1.0,2,365,1125,2.3,1125.0,5,13,23,292,21,12,4.81,4.9,4.81,4.86,4.95,4.76,4.71,63,0.87
2009,30347640,89812313,85,88,36.71918,-4.43699,4,3.0,4.0,2,1125,1125,2.0,1125.0,5,11,41,316,42,1,4.79,4.95,4.67,4.93,4.95,4.6,4.83,75,0.62
2010,6413642,2707228,11,23,36.70739364624024,-4.43146276473999,6,3.0,5.0,5,1125,1125,4.9,1125.0,14,37,67,92,36,1,4.17,4.67,4.36,4.61,4.33,4.11,4.14,3,0.33
2011,786651,4147118,9,10,36.72244,-4.42891,4,2.0,3.0,5,1125,1125,18.7,911.2,23,53,83,358,1,0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,9,0.01
2012,665675080493394890,463517594,1,1,36.7103107,-4.430022,8,4.0,7.0,4,60,1125,3.9,1125.0,10,18,30,63,8,6,4.88,5.0,4.88,4.88,5.0,4.75,4.88,1,0.35
2013,590243409099160305,431977102,505,936,36.720947,-4.371545,4,2.0,3.0,1,1125,1125,1.0,871.4,28,58,88,363,3,1,4.0,3.33,4.0,5.0,4.67,4.67,3.33,2,0.11
2014,1009362277973248500,542572844,12,14,36.72476398321992,-4.4254199164916,2,1.0,1.0,1,365,365,1.2,365.0,29,54,84,178,5,5,4.4,4.6,4.4,4.2,4.6,4.2,4.8,12,0.61
2015,26155150,42288025,1,1,36.72685,-4.41497,4,2.0,3.0,1,1125,1125,1.0,1125.0,0,0,0,0,21,0,4.33,4.67,4.14,4.71,4.57,4.62,4.48,1,0.3
2016,841230354155386292,28744216,1,1,36.72703,-4.40722,2,1.0,1.0,1,365,365,1.0,365.0,30,54,84,359,12,5,4.92,4.67,4.75,4.67,5.0,4.42,4.75,1,0.78
2017,1087491604631795828,93558600,6,6,36.7208063,-4.4320113,2,1.0,1.0,3,365,365,3.0,365.0,0,10,13,13,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,0.24
2018,689593068427280085,120935499,1,1,36.72463,-4.43304,2,1.0,2.0,2,16,1125,2.1,1125.0,14,28,46,315,56,27,4.93,4.93,4.96,4.96,4.93,4.5,4.8,1,2.5
2019,20969104,150858624,1,1,36.69365532885422,-4.4393427891048,5,2.0,4.0,1,1125,1125,1.0,1125.0,0,1,4,158,117,14,4.95,4.98,4.99,4.98,4.88,4.91,4.91,1,1.45
2020,817485730612665803,382146507,72,72,36.6971,-4.4375,5,3.0,4.0,1,365,1125,3.1,1125.0,2,2,11,254,36,29,4.69,4.83,4.78,4.64,4.89,4.81,4.64,63,2.17
2021,1184048072288167245,161009189,4,4,36.7220643,-4.4317948,2,1.0,2.0,1,365,365,1.0,365.0,22,24,24,201,0,0,4.69,4.83,4.78,4.64,4.89,4.81,4.64,4,2.17
2022,49404028,3042898,8,11,36.69742023404451,-4.440199103426903,3,1.0,1.0,2,1125,1125,2.2,1125.0,0,3,22,25,22,4,4.64,4.86,4.82,4.5,4.45,4.5,4.55,8,0.57
2023,50524258,226466430,3,3,36.72391,-4.43458,4,1.0,2.0,1,365,365,1.1,365.0,8,21,49,83,477,143,4.73,4.86,4.66,4.92,4.96,4.48,4.69,3,13.09
2024,907845849649563806,496804264,3,7,36.72785,-4.41627,3,1.0,2.0,2,365,182,2.5,182.0,7,13,38,129,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,0.21
2025,1021477564677007218,339883974,3,3,36.70309376330451,-4.440208378387944,1,1.0,0.0,3,90,90,3.1,90.0,6,6,12,160,7,7,5.0,5.0,4.86,5.0,5.0,4.71,5.0,3,1.06
2026,648606499688899776,382146507,72,72,36.694846,-4.443094,4,1.0,1.0,2,365,1125,2.3,1125.0,3,4,16,291,13,5,4.62,4.77,4.62,4.46,4.69,4.77,4.38,63,0.55
2027,34851809,13674439,1,2,36.70695,-4.43357,5,3.0,3.0,1,60,60,1.0,60.0,0,5,13,33,63,36,4.73,4.7,4.63,4.87,4.75,4.6,4.75,1,1.76
2028,50604106,80225433,239,416,36.72007,-4.42355,4,2.0,2.0,1,365,999,3.7,999.0,12,31,53,293,24,9,4.54,4.38,4.33,4.63,4.83,4.92,4.38,194,0.69
2029,41209096,65852800,1,1,36.71338,-4.42949,2,0.0,1.0,3,21,1125,3.0,1125.0,10,35,65,155,326,82,4.92,4.92,4.91,4.93,4.98,4.86,4.86,1,5.97
2030,909905743501207231,153519271,26,32,36.70998,-4.42984,6,3.0,5.0,1,1125,1125,2.0,414.7,10,28,58,242,3,3,4.0,4.33,4.33,4.0,4.0,4.33,4.67,19,0.28
2031,1021699886930284372,339883974,3,3,36.70501764895167,-4.438939789354381,2,1.0,1.0,5,730,730,5.0,730.0,13,17,21,111,7,7,4.86,4.71,5.0,5.0,5.0,4.86,4.86,3,0.93
2032,3051444,15535210,2,3,36.71896,-4.40876,4,1.0,2.0,2,30,1125,2.0,1125.0,2,3,8,126,599,87,4.88,4.89,4.89,4.97,4.98,4.96,4.86,2,4.89
2033,906431565669295113,124691824,2,2,36.7213391,-4.4414257,2,1.0,1.0,2,365,1125,2.0,1125.0,7,10,19,19,5,5,4.8,4.6,4.2,5.0,5.0,4.8,4.2,2,0.42
2034,43961473,21868005,9,9,36.7234,-4.4245,4,1.0,2.0,1,1125,1125,3.6,1125.0,13,29,37,284,125,31,4.94,4.92,4.88,4.92,4.97,4.88,4.79,9,2.62
2035,953402907098648108,530622191,1,1,36.74506339936784,-4.404297197516345,2,1.0,2.0,1,30,30,1.0,30.0,0,0,0,0,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0.09
2036,39355000,302286209,1,1,36.73261260986328,-4.416848182678223,2,1.0,1.0,2,28,1125,2.0,1125.0,7,11,12,228,7,4,4.86,5.0,5.0,4.57,5.0,5.0,5.0,1,0.12
2037,52378997,2103056,39,42,36.72404,-4.43323,4,2.0,2.0,1,365,365,4.2,365.0,4,25,43,318,78,34,4.62,4.6,4.64,4.83,4.85,4.45,4.54,37,2.36
2038,1186204895526766126,316795838,88,106,36.7211546,-4.4077204,3,2.0,2.0,4,365,365,3.9,354.8,15,45,75,259,0,0,4.62,4.6,4.64,4.83,4.85,4.45,4.54,25,2.36
2039,41665198,581518985,4,7,36.65383,-4.4886,10,5.0,5.0,3,1000,1125,3.3,1125.0,8,25,45,289,106,31,4.6,4.69,4.59,4.78,4.72,4.48,4.59,2,1.96
2040,923214867929666074,341808994,2,3,36.71024,-4.44054,1,1.0,1.0,7,35,35,7.0,35.0,29,59,89,89,5,5,4.8,5.0,5.0,5.0,4.8,4.8,4.8,2,0.44
2041,47843963,8342062,3,4,36.71951,-4.43335,6,3.0,3.0,7,729,1125,6.8,1125.0,2,10,21,194,29,16,4.86,4.93,4.79,4.93,4.9,4.97,4.83,2,1.44
2042,51573847,143378424,1,1,36.73711,-4.4189,4,2.0,3.0,2,1125,1125,2.0,1125.0,9,11,41,301,18,0,4.67,4.72,4.72,4.67,4.94,4.33,4.72,1,0.51
2043,13678279,74965400,7,7,36.72427,-4.43486,3,1.0,2.0,1,30,1125,1.0,1125.0,0,2,6,6,36,4,4.64,4.69,4.72,4.89,4.92,4.25,4.61,7,0.37
2044,811513620956963652,50400930,2,2,36.75088,-4.42008,16,5.0,12.0,2,365,365,2.0,365.0,9,13,30,287,24,22,5.0,4.96,4.79,4.96,5.0,4.96,4.83,2,1.6
2045,902185980740986416,69934176,3,8,36.72884,-4.40797,2,1.0,1.0,1,365,365,1.0,365.0,12,22,25,25,20,15,4.6,4.9,4.7,4.65,4.7,4.55,4.6,3,1.55
2046,28983440,218455967,1,1,36.71875,-4.43278,6,3.0,4.0,10,120,1125,9.8,1125.0,7,17,47,227,12,0,4.83,4.92,4.92,5.0,5.0,4.5,4.92,1,0.17
2047,1025804676125717173,545041476,6,6,36.7094287,-4.4294619,1,3.0,1.0,1,1125,1125,1.0,1125.0,28,58,88,363,0,0,4.83,4.92,4.92,5.0,5.0,4.5,4.92,6,0.17
2048,1179507573197929205,243077470,60,63,36.7174116,-4.4111785,2,0.0,1.0,1,1125,1125,3.3,1125.0,3,29,59,149,0,0,4.83,4.92,4.92,5.0,5.0,4.5,4.92,13,0.17
2049,1025248197511205498,545041476,6,6,36.7094287,-4.4294619,2,1.0,1.0,1,365,365,1.0,365.0,30,59,89,364,0,0,4.83,4.92,4.92,5.0,5.0,4.5,4.92,6,0.17
2050,18366734,127155616,2,3,36.72295,-4.4238,3,1.0,2.0,5,1125,1125,5.0,1125.0,2,6,17,263,141,32,4.63,4.74,4.6,4.87,4.86,4.74,4.6,2,1.62
